2022-08-28 12:12:35|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/visualisation_diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:12:43|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_variables|||2|http://localhost/smartwork/dmg/visualisation_diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_variables.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 12:13:37|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_results|||2|http://localhost/smartwork/dmg/visualisation_variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_results.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 22:57:46|[INFO]|i2136ik8fdndhmp4g3mgfh7cv3|SEPARATION|::1|outil||outil|1||Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 22:57:47|[INFO]|i2136ik8fdndhmp4g3mgfh7cv3|SEPARATION|::1|loginbox||La séparation et le divorce expliqués en détail|1|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/loginbox.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 22:57:59|[INFO]|i2136ik8fdndhmp4g3mgfh7cv3|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 22:58:02|[INFO]|i2136ik8fdndhmp4g3mgfh7cv3|SEPARATION|::1|outil_variable||Diagnostic-Variable|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_variable.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 23:00:06|[INFO]|i2136ik8fdndhmp4g3mgfh7cv3|SEPARATION|::1|outil_result||Diagnostic-Résultat|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_result.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 23:00:48|[INFO]|i2136ik8fdndhmp4g3mgfh7cv3|SEPARATION|::1|outil_procedure||Diagnostic-Procédure|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_procedure.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 23:00:57|[INFO]|i2136ik8fdndhmp4g3mgfh7cv3|SEPARATION|::1|outil_dossier||Diagnostic-Dossier|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_dossier.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
